yellow: #FFDB7B, #FFCE3A, #FDBA1E, #F3AA1C, #E69C35, #F8E6B8, #F6D061
yellow_v2: #FFD875, #FFC938, #E8A82A, #5C3B18, #B97820, #FFF0C7, #FFE09A
yellow_v3: #FFE68A, #F7C63F, #E9A91D, #815416, #B9741B, #FFF1BE, #F3CC62

red: #F26E71, #D55859, #D84F44, #C2423B, #C03433, #F4D3CF, #EAA9A6
red_v2: #F47A75, #DC5654, #BC403B, #542526, #912F31, #F8D2CC, #EFA49D
red_v3: #FF958B, #E85A52, #CE3E3A, #762830, #A83238, #FFD8D2, #EE8279

blue: #4E90CD, #4789C8, #337FC2, #2A79BE, #3C65B0, #D4E1EB, #A1C1E3
blue_v2: #70A9DA, #4D8FC9, #3479B8, #203F61, #295F96, #D7E8F5, #A4C9E7
blue_v3: #8BC7F2, #5AA4DC, #327FBE, #244764, #28699E, #DCEFFC, #9BCBEA

green: #7CC356, #76C14D, #5DBB46, #3CB64A, #38A148, #DCE9C9, #BAD98E
green_v2: #8DC968, #68AE4C, #4B923B, #294A27, #39752F, #E1F0D6, #B9DBA4
green_v3: #A6DD72, #75C653, #45A33E, #2D542A, #347F33, #E4F6D8, #B7E294

pink: #F6A8BB, #EB7D9D, #DE5B83, #CB3F6C, #AF2C58, #F3D6DF, #EAACC1
pink_v2: #F1A2B9, #DD7194, #C65077, #57283C, #9D385D, #F8DCE5, #EDB5C7
pink_v3: #FFB0C9, #EB77A4, #CE4E7D, #6D304A, #A83B67, #FFE0EA, #F2A0BC

violet: #B8A3CF, #987BB8, #795DA8, #64449B, #4F2F88, #DED5E8, #C9B6E2
violet_v2: #B89FD0, #9676B8, #7655A0, #3C2C58, #5C3D83, #E8DFF0, #CBB8DD
violet_v3: #CDB2F0, #A17BD3, #7B52B5, #482F67, #63408F, #EDE3F8, #C7A7E5

yellow_cartoonish: #FFF28A, #FFD83D, #F5B51B, #70420D, #B97513, #FFF7C8, #FFE46A
yellow_arcade: #FFF56B, #FFD51A, #F3A900, #553308, #B86B00, #FFFFC2, #FFEA45
yellow_pastel: #F8E7AF, #EED38B, #D9B66A, #766044, #AD8A55, #FFF4D5, #F1DDA8
yellow_muted: #DCC98D, #C6AA62, #A98942, #5F5137, #816936, #EFE5C4, #D5C28A
yellow_fantasy: #FFE88A, #EBC44B, #C99325, #4C361B, #8A5E20, #FFF3C2, #DDBB68
yellow_minimalist: #E8D27F, #D4B951, #B99731, #665329, #8E702B, #F2E6BC, #DDC97C
yellow_retro: #FFE06B, #DFAF32, #B77D24, #5A3B1E, #874F25, #FFF0AF, #E7BF5E
yellow_toy: #FFF48C, #FFD54D, #F2AE24, #714818, #B56F20, #FFF9D6, #FFE67D
yellow_painterly: #F5D98A, #DDB765, #BD8D46, #654B34, #93693D, #F7E8BF, #E5C98E
yellow_board_game: #FFE27A, #EFC544, #D79E25, #68461A, #A36E1E, #FFF2BF, #EBCF70
yellow_metallic: #FFF0A0, #D8B84E, #A87924, #3E321F, #76551F, #FFFFE0, #CDAA61
yellow_void: #E9D45B, #A9891D, #665414, #181724, #40351C, #FFF4A3, #8870B6
yellow_cheerful: #FFF28A, #FFD94F, #F4B72D, #79501C, #BA7C22, #FFF6CA, #FFE884
yellow_calm: #EADFA8, #D6C688, #B9A76A, #655D4B, #8F8060, #F4EED4, #DFD3A6
yellow_industrial: #F2CF45, #C9A52A, #987820, #3F3D35, #6B5A2A, #F7E8A2, #D3B64E

red_cartoonish: #FF9A92, #EE5A55, #D63C39, #681D24, #A82930, #FFD9D4, #FF887F
red_arcade: #FF776F, #F2383E, #C9162A, #4E101A, #951728, #FFD2CF, #FF625F
red_pastel: #EFB2AF, #DB8C89, #C06C6A, #704A4A, #965959, #F8E0DD, #E7BDB9
red_muted: #C98D89, #AF6D69, #8E514F, #543A3B, #6F4546, #E5CBC8, #C79A96
red_fantasy: #F28B83, #C94C4B, #9F3038, #3E252F, #702C39, #F7D6D0, #D97974
red_minimalist: #D9827E, #C15D5B, #A04444, #5A3435, #793A3C, #EDD0CD, #D89591
red_retro: #E86D65, #BF4542, #943236, #4F292B, #702D32, #F4C7C0, #D88076
red_toy: #FF9F99, #EB6662, #C84443, #6D292C, #9F383A, #FFE0DC, #F58F88
red_painterly: #DA8D87, #BE6863, #994B49, #593A3B, #754546, #EFD2CE, #D69B95
red_board_game: #F58A83, #D95A57, #B83B3D, #5A252B, #8B3036, #FAD7D2, #E6817B
red_metallic: #F6AAA1, #C86661, #8D393C, #35252C, #672F36, #FFE7E2, #BB7772
red_void: #DC5B66, #982C46, #581D3B, #171421, #351932, #F6B6BC, #7C5BB3
red_cheerful: #FF9D94, #EF6862, #D14847, #713035, #A63C40, #FFDCD7, #F4928B
red_calm: #D9AAA6, #C28B87, #A56E6C, #615051, #7F5D5D, #EAD7D4, #CFB1AD
red_industrial: #D85C54, #AA403D, #7C3031, #343436, #5A393A, #E7B8B3, #B56C67

blue_cartoonish: #91D4FF, #51A9E8, #247EC5, #153B63, #1D6099, #E0F4FF, #80C5F2
blue_arcade: #67D3FF, #269DEB, #0869C5, #092C58, #0B4F92, #D6F5FF, #53B6FF
blue_pastel: #B5D7E8, #8ABBD4, #699CB9, #496273, #587F96, #E8F3F8, #C5DFEC
blue_muted: #8FAFBE, #6F91A4, #557386, #3F505B, #496474, #D6E2E8, #A7BEC9
blue_fantasy: #86C8F3, #4A91D0, #2C65A5, #243451, #314D79, #DAEEFF, #7F9FE0
blue_minimalist: #8FB8D2, #6995B1, #4D748E, #3A4C5A, #445F72, #DCE8EF, #A8C4D6
blue_retro: #66A7D4, #3D7FAE, #285D86, #263C50, #2D4F6D, #D2E5F1, #7CB1D0
blue_toy: #9BD9FF, #5AADE9, #2D82C4, #18436C, #22649A, #E3F5FF, #8BC9EF
blue_painterly: #8DB6CF, #6792AC, #4B7088, #3A4C59, #455E6F, #DCE7ED, #A5C0CF
blue_board_game: #7FC3ED, #4D99D2, #2F74AD, #1E3E5D, #285B89, #D8ECF8, #8ABADB
blue_metallic: #B4D7EB, #709EBB, #42687F, #25343E, #354E5E, #EDF8FC, #91B5C9
blue_void: #5A7BE8, #3946A8, #242467, #111425, #1D2450, #B9C6FF, #6653B8
blue_cheerful: #9AD8FF, #61B1E9, #3788C6, #214967, #2A6A96, #E2F5FF, #93CBED
blue_calm: #B0CBDC, #8CAFC4, #6D91A7, #4D5F6B, #5A7788, #E2EDF3, #C1D5E0
blue_industrial: #739AB3, #52758B, #3D586A, #303A40, #3B4A54, #CFDCE3, #879FAC

green_cartoonish: #B3EC7A, #75C94D, #3FA539, #1C5528, #2F7D31, #E8F8C7, #9CDA68
green_arcade: #A8F45E, #59D33A, #1EA43B, #123F26, #176F31, #DFFFC0, #7CE95A
green_pastel: #C2DFAF, #9EC78A, #7BA86A, #50634B, #628558, #EAF3E4, #CDE6C1
green_muted: #9DB48B, #7E986F, #617A58, #465144, #506749, #D9E3D2, #B0C2A4
green_fantasy: #A6D86D, #6BA64A, #477635, #2B3F2B, #355B37, #E1F0C8, #8EBC63
green_minimalist: #9FC184, #7BA264, #5D824E, #45543F, #4D6C43, #DEE9D6, #B0CCA0
green_retro: #83B75D, #5C9145, #416B38, #374634, #3B5938, #D7E7CC, #91BE79
green_toy: #B6E98A, #7AC85B, #48A545, #285632, #377C3D, #E9F6D7, #A1D27B
green_painterly: #9FB88B, #7B966F, #5D7756, #455247, #4F6650, #DCE5D6, #AEC2A2
green_board_game: #9FD86F, #6CB34F, #45923E, #294C2F, #347039, #E1F1CE, #8BCB6E
green_metallic: #C2D6AE, #849B75, #56664F, #303832, #425044, #EDF3E6, #9CAF90
green_void: #6EBF67, #3D7B50, #28513F, #141C24, #214033, #C0E8B5, #5757A6
green_cheerful: #B3E78A, #7DC65E, #4FA34A, #2D5A36, #3D7C42, #EAF6DA, #A4D581
green_calm: #B7CDAA, #95B38A, #769673, #536154, #617A61, #E1E9DD, #C3D6BB
green_industrial: #7F9C6D, #607B57, #495F46, #373E37, #405040, #CEDBC8, #91A785

pink_cartoonish: #FFBCD2, #EE79A2, #CE497A, #682A49, #A83A68, #FFE4ED, #F7A1BD
pink_arcade: #FF9BD1, #F14E9C, #C91A71, #571038, #961757, #FFD7EA, #FF74B3
pink_pastel: #EEC4D1, #DCA6B9, #C486A1, #745665, #9C6B82, #F7E7EC, #E5CBD5
pink_muted: #C59AA8, #AA7C8E, #8B6074, #594451, #704E60, #E2D1D7, #C2A3AD
pink_fantasy: #EFA7C7, #CB6C9C, #9B4678, #492A45, #71365E, #F5DDEA, #D28AB2
pink_minimalist: #D8A2B5, #BC7D94, #9A5F78, #60444F, #7C4F65, #EBD8DE, #D2ACBA
pink_retro: #D97C9E, #B6527A, #8C3B60, #4C303E, #672F4E, #EFCBD7, #CC89A2
pink_toy: #FFC1D5, #EE81A8, #CF507F, #6E304C, #A63E6B, #FFE7EF, #F6A8C1
pink_painterly: #D9A8B8, #BD8298, #986278, #5B4550, #755264, #EBD9DF, #CFAFBA
pink_board_game: #F0ABC3, #D5749A, #B04F79, #592C43, #86395D, #F8DFE8, #E495B0
pink_metallic: #E7C1CF, #AD8192, #765463, #3B3037, #5A424D, #F8EEF2, #C89AAA
pink_void: #D667A2, #8D3778, #572653, #171322, #391D40, #F0B5D4, #7753AA
